m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.851977142857143,0.7843330413064123,0.8821903593313799,1.0,2.64819934
200,100,50,100,0.8855085714285714,0.8195856947127951,0.8798276734890171,1.0,57.12462868
300,150,75,100,0.9087949206349206,0.8439639303154765,0.8855504345844738,1.0,77.9630853
400,200,100,100,0.91282,0.847884004813346,0.878932344310587,1.0,113.50018392
500,250,125,100,0.9055652571428571,0.8445816709848202,0.8778249005395079,1.0,163.51784396
1000,500,250,100,0.9210002285714285,0.8689250239857678,0.8698793033385096,1.0,2256.81159426
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
