m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.8520228571428572,0.784375504519379,0.8821899302045513,1.0,10.10603574
200,100,50,100,0.8856685714285714,0.8197338892174665,0.8798273175230985,1.0,242.04444068000004
300,150,75,100,0.9089168253968254,0.8440772466361484,0.8855501436601465,1.0,4276.58691828
400,200,100,100,-1.0,-1.0,-1.0,-1.0,-1.0
500,250,125,100,-1.0,-1.0,-1.0,-1.0,-1.0
1000,500,250,100,-1.0,-1.0,-1.0,-1.0,-1.0
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
