m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,-1.0,-1.0,-1.0,-1.0,-1.0
200,100,50,100,-1.0,-1.0,-1.0,-1.0,-1.0
300,150,75,100,-1.0,-1.0,-1.0,-1.0,-1.0
400,200,100,100,-1.0,-1.0,-1.0,-1.0,-1.0
500,250,125,100,-1.0,-1.0,-1.0,-1.0,-1.0
1000,500,250,100,-1.0,-1.0,-1.0,-1.0,-1.0
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
