m,n,r,d,A_norm_0_mean,A_norm_1_mean,AMP_norm_0_mean,AMP_norm_1_mean
120,40,30,10,562.6,279.49312277163796,4581.8,121.52370682797087
240,80,60,10,2223.2,1127.623859808023,19168.8,248.0143150695168
360,120,90,10,5034.2,2573.7174319065734,43129.4,376.85276850256764
480,160,120,10,8930.2,4561.932279292027,76697.2,505.8691478452809
600,200,150,10,14018.2,7136.841736379196,119791.6,636.3582786822262
1200,400,300,10,56002.0,28484.928472203253,478439.0,1282.2049071117835
1800,600,450,10,126169.0,64246.38807920557,1.0747006e6,1922.8761289981442
2400,800,600,10,223887.0,114136.54620399556,1.907327e6,2565.634462077048
3000,1000,750,10,350157.2,178573.42469205297,2.9753386e6,3205.192848001855
3600,1200,900,10,504161.0,257240.65924125916,4.2777964e6,3852.6093343193543
4200,1400,1050,10,686273.6,349794.2691971844,5.8130188e6,4497.557087138549
4800,1600,1200,10,896135.6,456971.48974965437,7.5801418e6,5143.357050232393
5400,1800,1350,10,1.1343848e6,578237.9761979379,9.5778154e6,5785.509756450988
6000,2000,1500,10,1.3998566e6,713695.6187152682,1.18052486e7,6428.552777716558
