m,n,r,d,norm_0_mean,norm_1_mean,rank_mean,time_mean
120,40,30,10,4257.0,112.34721359794408,30.0,5.664686919999999
240,80,60,10,17963.4,233.0212077476311,60.0,108.69351352000001
360,120,90,10,40429.6,355.585288791067,90.0,684.6878105
480,160,120,10,71895.0,477.6094737105665,120.0,18328.82723614
600,200,150,10,-1.0,-1.0,-1.0,-1.0
1200,400,300,10,-1.0,-1.0,-1.0,-1.0
1800,600,450,10,-1.0,-1.0,-1.0,-1.0
2400,800,600,10,-1.0,-1.0,-1.0,-1.0
3000,1000,750,10,-1.0,-1.0,-1.0,-1.0
3600,1200,900,10,-1.0,-1.0,-1.0,-1.0
4200,1400,1050,10,-1.0,-1.0,-1.0,-1.0
4800,1600,1200,10,-1.0,-1.0,-1.0,-1.0
5400,1800,1350,10,-1.0,-1.0,-1.0,-1.0
6000,2000,1500,10,-1.0,-1.0,-1.0,-1.0
