m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
500,250,125,100,1.053744,0.561577261827793,0.816950940530343,1.9888,6.20732976
1000,500,250,100,1.0356192,0.5583101693223526,0.8115910744504562,1.9975999999999998,41.52396316
1500,750,375,100,1.0084135111111112,0.547021929970599,0.8034770901089143,1.9978666666666665,98.58175952
2000,1000,500,100,0.9998208,0.5449335751000376,0.8014763621789305,1.998,172.64341833999998
2500,1250,625,100,0.9932652799999999,0.5450330290996583,0.8004712015036025,1.9980799999999999,253.40614180000003
3000,1500,750,100,0.9819440888888888,0.5406770036490023,0.8022170506517557,1.9986666666666664,392.36441242
3500,1750,875,100,0.9822800326530612,0.5447128049585406,0.8019575542281568,1.9981714285714287,502.2036819
4000,2000,1000,100,0.9751739,0.5425603911828611,0.7986487682057049,1.9988,683.0728130199999
4500,2250,1125,100,0.9684887308641976,0.5412957166756249,0.8016981632480903,1.998933333333333,942.3478309200002
5000,2500,1250,100,0.9647013120000001,0.5399907942287149,0.7992351420487162,1.9990400000000002,1168.9010851799999
