m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,1.39048,0.7314814282097213,0.8227060012179791,1.984,0.21453756
200,100,50,100,1.4334,0.7581009468297779,0.8215736047778741,1.996,1.9806650399999999
300,150,75,100,1.4604355555555557,0.7749804036222521,0.8215533301509028,1.9893333333333334,2.7599548600000006
400,200,100,100,1.44211,0.7654348474261079,0.8156417985192291,1.998,4.93978252
500,250,125,100,1.4520416,0.7738401478231296,0.8174834193327325,1.9951999999999999,6.6515928
1000,500,250,100,1.4146552,0.7626491633301331,0.8121399013360662,1.9984000000000002,36.55105434
1500,750,375,100,1.3930140444444445,0.755626569957861,0.8041691042483695,1.9989333333333335,86.63657788
2000,1000,500,100,1.3803634,0.7523087153937752,0.8022246786783482,1.9988,157.59792022000002
2500,1250,625,100,1.353109504,0.7424736186127726,0.8012185118543874,1.9990400000000002,249.88668048
3000,1500,750,100,1.3333944,0.7341953675482008,0.8030446809324333,1.9997333333333334,356.17184122
3500,1750,875,100,1.3135499102040815,0.7284167691301106,0.8027206650602962,1.9990857142857146,505.42808934000004
4000,2000,1000,100,1.2978146000000002,0.7220778754338263,0.799441587939944,1.9994,683.12724728
4500,2250,1125,100,1.279321086419753,0.7150150802737464,0.8025432672299114,1.999288888888889,900.22476398
5000,2500,1250,100,1.2733792320000001,0.7127635241019601,0.8000873602626124,1.99952,1132.41637132
