m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,50,25,100,0.96344,0.5068562280440897,0.8220792009279677,1.888,1.41545542
200,100,50,100,0.9658,0.5107994495694091,0.8210848644126287,1.94,14.612350079999999
300,150,75,100,0.9680444444444445,0.5137159475006905,0.820904931595055,1.9626666666666668,65.8842396
400,200,100,100,0.97165,0.515744043440648,0.8150457653762185,1.968,215.57100922
500,250,125,100,0.9710816000000001,0.517536038215824,0.8168297220689622,1.9616,493.48984172
1000,500,250,100,-1.0,-1.0,-1.0,-1.0,-1.0
1500,750,375,100,-1.0,-1.0,-1.0,-1.0,-1.0
2000,1000,500,100,-1.0,-1.0,-1.0,-1.0,-1.0
2500,1250,625,100,-1.0,-1.0,-1.0,-1.0,-1.0
3000,1500,750,100,-1.0,-1.0,-1.0,-1.0,-1.0
3500,1750,875,100,-1.0,-1.0,-1.0,-1.0,-1.0
4000,2000,1000,100,-1.0,-1.0,-1.0,-1.0,-1.0
4500,2250,1125,100,-1.0,-1.0,-1.0,-1.0,-1.0
5000,2500,1250,100,-1.0,-1.0,-1.0,-1.0,-1.0
