m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,100,25,100,0.9551085714285714,0.4605737063639042,0.8887048767062963,3.8879999999999995,5.0743753400000005
200,200,50,100,0.9508457142857143,0.4636531347762947,0.881786600079348,3.932,6.90727006
300,300,75,100,0.9424203174603175,0.4683189636388471,0.8857589867022181,3.936,10.42315696
400,400,100,100,0.9402142857142856,0.4750962263103869,0.8849156852460627,3.946,24.15781114
500,500,125,100,0.9354587428571429,0.48154076490143105,0.8860095078407338,3.9375999999999998,43.15329898
1000,1000,250,100,0.9392283428571429,0.5074346679139696,0.8886810930585407,3.9648000000000003,193.54446016000003
1500,1500,375,100,0.9503727746031746,0.5367889674015764,0.891740877249988,3.9696,437.91238314000003
2000,2000,500,100,0.9664370285714285,0.5649350670200489,0.8937486084838276,3.974,779.9069175799999
2500,2500,625,100,0.9873764937142857,0.5890433502961506,0.8947124749953137,3.9769600000000005,1255.16891354
3000,3000,750,100,1.0075071492063492,0.6188718421225818,0.8958013685592835,3.980533333333333,1818.6877838799999
3500,3500,875,100,1.0269985212827988,0.64276166603377,0.8969780664866048,3.9796571428571426,2489.26001624
4000,4000,1000,100,1.0497503142857143,0.6728862565073782,0.8983101067754287,3.9812,3188.6349509999995
4500,4500,1125,100,1.0700740176366845,0.7029072824852239,0.9008065247711008,3.981511111111111,4073.7379067
5000,5000,1250,100,1.0883595154285715,0.7295850278723514,0.9021335172428728,3.98224,5059.04556758
