m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,100,25,100,0.8101538461538462,0.6177813226405761,1.7628794046795044,4.0,0.9731224199999999
200,200,50,100,0.7877314734088927,0.6044293385591587,1.7385116638468971,3.996,1.6791064599999999
300,300,75,100,0.779908633372048,0.6021252375893258,1.7336450906051197,4.0,2.47790882
400,400,100,100,0.7754897692642577,0.6029719815073662,1.7197202430724663,4.0,6.38733986
500,500,125,100,0.7714384401114206,0.6030182417660238,1.720822934551509,4.0,9.94598586
1000,1000,250,100,0.7624599965199235,0.6065784586867742,1.704042506526426,4.0,43.8519351
1500,1500,375,100,0.7581317869017242,0.6120152553924305,1.710440703792355,4.0,101.99314362
2000,2000,500,100,0.7552434896059841,0.6172383925357516,1.7103256175609556,3.9996,193.35103902
2500,2500,625,100,0.7532508321736711,0.6192732665144989,1.7091310341397439,4.0,322.32174580000003
3000,3000,750,100,0.751803730117315,0.6245233306271512,1.7156055575745515,4.0,486.96802216
3500,3500,875,100,0.7507807403410623,0.6275051082079459,1.7180249461703627,3.999771428571428,719.69582818
4000,4000,1000,100,0.7496006957429231,0.6316019146713477,1.7228727587450983,3.9996,976.9027927199999
4500,4500,1125,100,0.7487490139490139,0.6370069502593263,1.7306948170105922,3.9994666666666667,1302.58124804
5000,5000,1250,100,0.7477465168539326,0.6401422745255233,1.7358368107774378,3.99968,1698.5816402
