m,n,r,d,bound_ratio_mean,norm_0_ratio_mean,norm_1_ratio_mean,rank_ratio_mean,time_mean
100,100,25,100,1.23393006993007,0.955972587837407,0.5528198597870716,3.632,0.20634184000000003
200,200,50,100,1.247846556233653,0.9440280409484672,0.4731232907061272,3.816,0.6200998
300,300,75,100,1.2021927990708479,0.9296255975211821,0.44854380708099784,3.7439999999999998,1.1915870600000003
400,400,100,100,1.2253095341750109,0.9472184754650238,0.43707950042172045,3.808,2.73222268
500,500,125,100,1.22705069637883,0.9537637763457745,0.415816000968686,3.8224000000000005,4.75035048
1000,1000,250,100,1.2158070645554202,0.9661926427705204,0.38076754821628633,3.8775999999999997,22.67181572
1500,1500,375,100,1.20667749168793,0.9751667394055488,0.3671314662172515,3.8986666666666663,55.3590423
2000,2000,500,100,1.2018809776463426,0.9832132959237694,0.3575880123608473,3.9180000000000006,106.68863618
2500,2500,625,100,1.1917329473977178,0.9789990084625757,0.3498872042030589,3.92064,171.94979977999998
3000,3000,750,100,1.185469596644827,0.9795317906658187,0.34234091404831457,3.9327999999999994,256.65629504
3500,3500,875,100,1.1806501029434735,0.9817719909377194,0.33480167396425375,3.933942857142857,382.01174164
4000,4000,1000,100,1.1699482019393834,0.9852677933191544,0.3344318549890647,3.9328000000000003,514.30106404
4500,4500,1125,100,1.1613752078609223,0.9816262794420687,0.33114295269953303,3.937422222222222,703.6856869000001
5000,5000,1250,100,1.1524605252722024,0.9859532954448825,0.3291040730706612,3.93632,924.42915152
